slug,famous,dod
F1026,Mu'awwidh bin 'Amr bin al-Jamuh,
F1027,Mu'ayqayb bin Abi Fatima al-Dausi,650
F1028,Mu'ttib bin Qushayr bin Mulayl,
F1031,Mubashshir bin 'Abdul Mundhir,624
F1032,Mubushir bin al-Bara' bin Ma'rur,
F1034,Mudlij bin 'Amr al-Salmi,
F1036,Mudrikah ibn Ilyas,80
F1039,Muhammad al-Futi,1864
F1044,Muhammad al-Tirmidhi,892
F1045,Muhammad bin Abu Hudhayfah ibn 'Utbah,
F1046,Muhammad bin Hatib bin al-Harith,705
F1047,Muhammad bin Hattab bin al-Harith,
F1048,Muhammad Ghaus Gwaliari,1563
F1055,Muhammad ibn Shihab al-Zuhri,742
F1056,Muhammad Yusuf al-Maqassari,1699
F1058,Muhmmad bin Ash'uth bin Qays,
F1059,Muhriz bin 'Amir bin Malik,625
F1060,Muhriz bin Nadla al-Asadi,
F1062,Mulayka bint 'Abdullah b. Sakhr,
F1063,Mulayka bint 'Abdullah ibn Ubayy,
F1064,Mulayka bint 'Amr,
F1065,Mulayka bint Sahl bin Zayd,
F1066,Mulayka bint Thabit,
F1067,Mulayl bin Wabara bin Khalid,
F1068,Mulla Muhsin Fayd Kashani,1680
F1070,Muqawwam ibn Nahur,-1480
F1074,Murri bin Sinan,
F1077,Musa bin al-Harith bin Khalid,
F1079,Mushin bin Abi Qays bin al-Aslat,
F1083,Muti'a bint al-Nu'man bin Malik,
F1084,Na'ila bint 'Ubaid bin al-Hurr,
F1085,Na'ila bint Rabi' bin Qays,
F1086,Na'ila bint Sa'd bin Malik,
F1087,Na'ila bint Salaama bin Waqash,
F1088,Na'ilah bint al-Furafisah,
F1089,Na'im bin Maqrn al-Mazni,
F1090,Nabia bin 'Uthman,
F1091,Nabit ibn Ismail,-1600
F1092,Nadba client of Maymuna,
F1096,Nafisa bint al-Hasan,824
F1097,Nafisa bint Umayya al-Tamimia,
F1098,Nahur ibn Sarugh,-1320
F1099,Nahur ibn Tayrah,-1530
F1105,Nasiruddin Chiragh Dehlawi,1356
F1107,Nasr bin al-Harith,
F1108,Naufal bin 'Abdullah bin Nadla,625
F1112,Niyazi-i Misri,1694
F1117,Nu'man bin Malik,625
F1119,Nur al-Din Zangi,1174
F1122,Nusayba bint Abi Talha,
F1123,Nusayba bint Niyar,
F1124,Nusayba bint Rafi' bin al-Mu'alla,
F1125,Nusayba bint Simak bin Nu'man,
F1126,Nuwayla bint Aslam,
F1134,Qaraybah bint Abi Umayyah al-Sugra,
F1137,Qatada ibn al-Numan,640
F1139,Qayla bint Makhrama al-Tamimiyya,
F1140,"Qayla, Umm Bani Anmar",
F1141,Qaynan ibn Anush,-2600
F1142,Qays bin 'Abdullah al-Asadi,
F1143,Qays bin 'Amr bin Qays,625
F1144,Qays bin Abi Sa'sa'a,
F1145,Qays bin al-Harith,634
F1146,Qays bin al-Sakan bin Qays,636
F1147,Qays bin Mihsan bin Khalid b Mukhallad,
F1148,Qays bin Mukhallad,625
F1149,Qays bint al-Khutaym,
F1150,Qays ibn Hudhaifa,
F1151,Qayzi bin Qays,635
F1152,Qazi Hamiduddin Nagori,1246
F1153,Qubaysa bint Sayfi b. Sakhr,
F1154,Qubta bin 'Abdu 'Amr bin Mas'ud,626
F1155,Qudamah bin Maz'un,656
F1156,Qurayba bint Zayd,
F1157,Qurratu'l-'Ayn bint 'Ubada bin Nadla,
F1158,Qusayy ibn Kilab,480
F1160,Qutayla bint Sayfi al-Juhayniyya,
F1162,Qutba bin 'Amir bin Hadida,650
F1164,Ra'u ibn Faligh,-1400
F1165,Rabi' bin Iyas b 'Amr,
F1166,Rabi'a bin Aktham al-Asadi,
F1169,Rafayda al-Aslamiyya,
F1170,Rafi' bin 'Unjunda,
F1171,Rafi' bin al-Harith bin Sawad,
F1172,Rafi' bin Khadij bin Rafi',
F1173,Rafi' bin Makayth,
F1174,Rafi' bin Malik bin al-'Ajlan,625
F1175,Rafi' ibn Yazid bin al-Sakan,625
F1176,Raibi' bin Rafi',
F1177,Ramla bint 'Abdullah ibn Ubayy,
F1178,Ramlah bint Abi 'Auf,
F1179,Ramlah bint al-Harith,
F1181,Rayta bint 'Abdullah,
F1182,Rayta bint al-Harith bin Jabala,
F1185,Rifa' bin Waqash,625
F1186,Rifa'a bin 'Abdul Mundhir,625
F1187,Rifa'a bin 'Amr bin Zayd,625
F1188,Rifa'a bin Rafi' bin Malik bin al-'Ajlan,
F1189,Rifa'a bint Thabit,
F1191,Rughayba bint Sahl bin Tha'laba,
F1193,Ruqayya bint Thabit bin Khalid,
F1195,S'ad bin 'Ubaid al-Qa'ri,638
F1196,Sa'd bin 'Uthman bin Khalada,
F1197,Sa'd bin Habban bin Munqidh,683
F1198,Sa'd bin Khalifa,636
F1199,Sa'd bin Khaula,631
F1200,Sa'd bin Khaythama,624
F1201,Sa'd bin Zayd bin Malik,
F1203,Sa'd ibn ar-Rabi',625
F1204,Sa'd ibn Muadh,627
F1206,Sa'd Mawla Hatib bin Abi Balta'ah,
F1207,Sa'id bin 'Abd Qays bin Laqit,
F1208,Sa'id bin 'Amr al-Tamimi,634
F1209,Sa'id bin al-Harith,634
F1210,Sa'id bin Khalid ibn Sa'id,
F1211,Sa'id bin Maqrn al-Mazni,
F1212,Sa'id bin Suwayd bin Qays,625
F1213,Sa'id ibn al-Musayyib,715
F1215,Sa'id/Sa'd bin Suhayl bin Malik,
F1216,Sa'ida bint Bashir bin 'Ubaid,
F1218,Saalam bin 'Umayr,670
F1220,"Safinah, Client of the Prophet",
F1221,Safiyah bint 'Amr b. 'Abd Wud,
F1222,Safiyah bint 'Ubiad bin Rabi'a,
F1225,Safiyya bint al-Harith bin Talha,
F1226,Safiyya bint Az-Zubair,
F1229,Safiyya bint Thabit,
F1230,Safwan bin Bayda,624
F1232,Sahl bin 'Atik,
F1233,Sahl bin Abi Hathma,
F1234,Sahl bin al-Rabi' bin 'Amr,
F1235,Sahl bin Hunayf,658
F1236,Sahl bin Qays bin Abi Ka'b,625
F1238,Sahla bint 'Asim bin 'Ady,
F1241,Salama bin Hisham,635
F1242,Salama bin Salaama bin Waqash,
F1243,Salama bint al-Hurr al-Fazariyya,
F1244,Salama bint Ma'qil al-Qaysiyya,
F1245,Salama bint Mas'ud bin Ka'b,
F1246,"Salama bint Wahab ( ,",
F1247,Saleet bin 'Amr,633
F1248,Saleet bin Saleet bin 'Amr,635
F1250,Salim bin 'Amr bin Hadida,625
F1253,Salit bin Qays bin 'Amr,636
F1255,Salma bin Aslam,636
F1256,Salma bin Thabit bin Waqash,625
F1257,Salma bint 'Amr b. Khunays,
F1258,Salma bint Aslam,636
F1260,Salma bint Yi'ar,
F1261,Salma bint Zayd bin Taym,
F1262,Salma ibn al-Akwa,
F1264,Sam ibn Nuh,-1800
F1265,Samura ibn Jundub,678
F1266,Sana'i of Ghazna,1131
F1268,Sarra' bint Nabhan al-Ghanawiyya,
F1269,Sarugh ibn Ra'u,-1350
F1271,Sawad bin Razn bin Zayd,
F1272,Sawad/Sawwad bin Ghaziya,
F1273,Sawda bint Haritha bin al-Nu'man,
F1274,Sawda bint Zama'a,648
F1276,Sayfi bin Qayzi bin 'Amr,625
F1280,Sehlah bint Suhayl,
F1284,Shah Abdul Aziz Dehlawi,1824
F1291,Shah Ni'matullah Wali,1431
F1294,Shalikh ibn Arfakhshadh,-1600
F1295,Shammas bin 'Uthman b al-Sharid,625
F1297,Shaqiqa bint Malik bin Qays,
F1298,Sharaf al-Din Maneri,1381
F1299,Sharif al-Radi,1016
F1301,Shaykh Zarruq,1493
F1304,Shith ibn Adam,-2988
F1306,Shuhda al-Katiba,1178
F1307,Shuja bin Wahb al-Asadi,634
F1308,Shumayla bint al-Harith,
F1310,Shurahbil bin Hasana,639
F1312,Sidi Ahmad ibn Idris,1837
F1315,Sinan bin Abu Sinan bin Mihsan al-Asadi,
F1316,Sinan bin Maqrn al-Mazni,
F1317,Sinan bin Sayfi b Sakhr,
F1318,Su'ad bint Rafi' bin 'Abd 'Amr,
F1319,Su'ad bint Rafi' bin Mu'awiya,
F1320,Su'ad bint Salama bin Zuhayr,
F1321,Su'ayda bint 'Abdu 'Amr bin Mas'ud,
F1322,Su'di bint Aws bin 'Adi,
F1323,Suada bint 'Auf al-Murriya,
F1324,Subay' bin Qays bin 'Aysha,
F1326,Sufyan bin Hatib bin Umayya,626
F1328,Sufyan bin Nasr bin 'Amr,
F1331,Suhayb bin Sinan ar-Rumi,
F1332,Suhayl bin Rafi',
F1333,Suhayma bint Aslam,
F1334,Suhayma bint Mas'ud bin Aws,
F1335,Suhyal bin Bayda',
F1336,Sukhta bint Aswad bin 'Ubbad,
F1337,Sukhta bint Qays bin Abi Ka'b,
F1338,Sulafa bint al-Bara' bin Ma'rur,
F1339,Sulaym bin al-Harith bin Tha'laba,625
F1340,Sulaym bin Milhan,626
F1341,Sulaym bin Qays bin Qahd,
F1343,Sulayman ibn Yasar,718
F1347,Sumayka bint Jabbar bin Sakhr,
F1348,Sumayya bint Ma'bad,
F1353,Sunbula bint Ma'is b. Qays,
F1355,Suraqa bin 'Amr Mazni,629
F1356,Suraqa bin Ka'b bin 'Amr,670
F1357,Suwaybit b Sa'd b Harmala,
F1358,Suwayd bin al-Nu'man,636
F1359,Suwayd bin Muqarrin al-Mazni,
F1360,Syed Ahmad Kabir Rifai,1905
F1361,Tahir ibn Ashur,1973
F1364,Tameem bin Zayd/Ghaziya Mazni,
F1366,Tamim bin Ya'ar bin Qays,
F1367,Tamim Mawla Khirash bin al-Simma,
F1368,Tamim/Bishr bin al-Harith,634
F1369,Tamima bint Wahb,
F1373,Tayrah ibn Ya'rub,-1580
F1374,Tha'laba bin 'Amr bin Mihsan,637
F1375,Tha'laba bin 'Anma ibn 'Adi,627
F1376,Tha'laba bin Hatib bin 'Amr,
F1377,Tha'laba bin Sa'd bin Malik,625
F1378,Thabit bin 'Amr bin Zayd,625
F1379,Thabit bin al-Dahhak bin Khalifa,
F1380,Thabit bin al-Nu'man bin al-Harith,635
F1381,Thabit bin Aqram,634
F1382,Thabit bin Hazzal,634
F1383,Thabit bin Khalid bin al-Nu'man,626
F1384,Thabit bin Khansa',
F1385,Thabit bin Tha'laba bin Zayd,629
F1386,Thabit bin Waqash,625
F1389,Thaqf bin 'Amr,628
F1390,Thaqf bin Farwa bin al-Badi,625
F1391,The Aunt of HUsayn bin Mihsan,
F1392,Thubayta bint al-Dahhak,
F1393,Thubayta bint al-Rabi' bin 'Amr,
F1394,Thubayta bint Salit bin Qays,
F1395,Thubayta bint Yi'ar,
F1398,Tufayl bin Malik bin Khansa',
F1399,Tulayb bin 'Umayr,634
F1401,Ubada bin 'Amr bin Mihsan,626
F1402,Ubada bin al-Hashas b 'Amr,625
F1403,Ubada bin As-Samit,
F1404,Ubada ibn al-Samit,654
F1405,Ubaid bin Abi 'Ubayd,
F1406,Ubaid bin al-Tayyihan,625
F1407,Ubaid bin Aus bin Malik,
F1409,Ubayd Allah ibn Abd Allah ibn Utba,728
F1411,Ubaydallah bin al-'Abbas,685
F1413,Ubbay bin Mua'dh bin Anas,626
F1414,Udd ibn Muqawwam,-1430
F1415,Ukkasha bin Mihsan al-Asadi,634
F1417,Umair bin al-Harith bin Labda,
F1418,Umair bin Humam bin al-Jamuh,624
F1419,Umama bint 'Isam bin 'Amir,
F1420,Umama bint 'Uthman ibn Khalida,
F1421,Umama bint al-Harith,
F1422,Umama bint As-Samit,
F1423,Umama bint Bashr bin Waqash,
F1425,Umama bint Khadij bin Rafi',
F1426,Umama bint Muharrith bin Zayd,
F1427,Umama bint Qurat bin Khansa',
F1428,Umama bint Rafi',
F1429,Umama bint Samak bin 'Atik,
F1430,Umar bin Abi Salamah,701
F1432,Umar Ibn al-Farid,1235
F1434,Umara bin Hazm ibn Zayd,634
F1435,Umara bint Hubbasha bin Jwaybit,
F1436,Umayma bint 'Abd al-Muttalib,
F1437,Umayma bint 'Amr bin Sahl,
F1438,Umayma bint 'Uqba,
F1439,Umayma bint Abi Hathma,
F1440,Umayma bint Abul-Haytham,
F1441,Umayma bint al-Nu'man bin al-Harith,
F1442,Umayma bint Qays,
F1443,Umayma bint Ruqayqa,
F1444,Umayma bint Ruqayqa bint Abi Sayfi,
F1445,Umayna bint Khalaf,
F1446,Umayr bin Habib bin Hubbasha,
F1447,Umayr bin Ma'bad bin al-'Az'ar,
F1448,Umayr bin Ri'ab bin Hudhayfa,634
F1450,Umayr/'Amr bin 'Auf,
F1451,Umayra bint 'Umayr,
F1452,Umayra bint Jubayr bin Sakhr,
F1453,Umayra bint Qurat bin Khansa',
F1454,Umayya bint Khulayfa bin 'Adi,
F1455,Umayya or Ubayya bint Bashir ibn Sa'd,
F1456,Umm 'Abdullah bin 'Aidy b. Khuwaylid,
F1457,Umm 'Abdullah bint 'Abdullah,
F1458,Umm 'Abdullah bint 'Azib,
F1459,Umm 'Abdullah bint Abi Duma,
F1460,Umm 'Abdullah bint Milhan,
F1461,Umm 'Abdullah bint Mu'adh ibn Jabal,
F1462,Umm 'Abdullah bint Sawad bin Razn,
F1463,Umm 'Abdur Rahman,
F1464,Umm 'Abs bint Maslama,
F1465,Umm 'Amir bint 'Amr bin Hadida,
F1466,Umm 'Amir bint Sulaym,
F1467,"Umm 'Ammarah Nasaybah ( ,",
F1468,Umm 'Amr,
F1469,Umm 'Amr bint 'Amr bin Haram,
F1470,Umm 'Amr bint al-Muqawwim,
F1471,Umm 'Amr bint Mahmud bin Maslama,
F1472,Umm 'Amr bint Salaama bin Waqash,
F1473,Umm 'Amr bint Sufyan,
F1474,Umm 'Ubayd bint Sakhar,
F1475,Umm 'Ubayd bint Suraqa,
F1476,Umm 'Ubays,
F1477,Umm 'Ubays bint Suraqa,
F1478,Umm 'Uthman or Umm Walad Shayba,
F1479,Umm Aban bint 'Utba b. Rabi'a,
F1480,Umm al-'Ala' al-Ansariyya,
F1481,Umm al-Dahhak bint Mas'ud,
F1482,Umm al-Darda al-Sughra,655
F1483,Umm al-Fadl Lubaba bint al-Harith,655
F1484,Umm al-Hakam bint 'Abdur Rahman,
F1485,Umm al-Hakam bint Az-Zubair,
F1486,Umm al-Harith bint al-Harith b. Tha'laba,
F1487,Umm al-Harith bint al-Harith bin 'Urwa,
F1488,Umm al-Harith bint al-Nu'man bin Khansa',
F1489,Umm al-Harith bint Malik bin Khansa',
F1490,Umm al-Husayn al-Ahmasiyya,
F1491,Umm al-Mundhir bint Qays bin 'Amr,
F1492,Umm al-Rabi' bint 'Abd,
F1493,Umm al-Rubayyi' bint Aslam,
F1494,Umm al-Sa'ib,
F1495,Umm al-Tufayl bint Tufayl,
F1496,Umm Anas bint Waqid bin 'Amr,
F1497,Umm Atiyya al-Ansariyya,
F1498,Umm Atiyya al-Ansariyyah,680
F1499,"Umm Ayman, Barakah",
F1500,Umm Ayoub bint Qays bin Sa'd,
F1501,"Umm Ayyash, Client of Ruqayya",
F1502,Umm Bishr bint 'Amr bint 'Anma,
F1503,Umm Bujayd al-Ansariyya,
F1504,"Umm Burda, Khawla bint al-Mundhir ( ,",
F1508,Umm Habib bint Jahsh,667
F1509,Umm Habiba bint Nabbata al-Asadiyya,
F1511,Umm Habibah bint Abi Sufyan,666
F1512,Umm Hakim bint 'Abd al-Muttalib,
F1513,Umm Hakim bint 'Uqba,
F1514,Umm Hakim bint al-Nadr,
F1515,Umm Hakim bint Qariz bin Khalid,
F1516,Umm Hakim bint Wida',
F1518,Umm Hani' al-Ansaria,
F1519,Umm Hanzala bint Rumi,
F1520,Umm Haram bint Milhan,648
F1521,Umm Hibban bint 'Amir bin Nabi,
F1523,Umm Iyas bint Anas ibn Rafi',
F1524,Umm Iyas bint Thabit bin al-Jidha',
F1525,Umm Jamil bint al-Harith bin 'Atik,
F1526,Umm Jamil bint al-Hubbab ibn al-Mundhir,
F1527,Umm Jamil bint al-Jullas,
F1528,Umm Jamil bint Qutba bin 'Amir,
F1529,Umm Jundab Azdiyya,
F1530,Umm Jundub bint Mas'ud bin Aws,
F1531,Umm Khalid bin Khalid ibn Sa'id,
F1532,Umm Khalid bint Khalid,
F1533,Umm Kharija bint al-Nadr,
F1534,Umm Khultum bint Suhayl,
F1535,Umm Kulthum bint 'Uqba,
F1536,Umm Kulthum bint 'Utba b. Rabi'a,
F1539,Umm Kurz al-Khuza'iyya,
F1541,Umm Ma'qil al-Asadiyya,
F1542,Umm Malik,
F1543,Umm Malik al-Ansariyya,
F1544,Umm Malik bint Ubayy bin Malik,
F1545,Umm Mani' bint 'Amr ibn 'Adi,
F1546,Umm Manzur bint Mahmud bin Maslama,
F1547,Umm Mu'adh bint 'Abdullah,
F1548,Umm Mubashir al-Ansariyya,
F1549,Umm Mubashshir al-Ansariyyah,655
F1550,Umm Niyar bint Zayd bin Malik,
F1551,Umm Qays bint Mihsan al-Asadi,634
F1552,Umm Qays bint Mihsan bin Khalid,
F1553,Umm Rafi' bint 'Uthman ibn Khalida,
F1554,Umm Razn bint Sawad bin Razn,
F1555,Umm Rimtha/Rumaytha,
F1556,Umm Ruman bint Amir,628
F1557,Umm Sa'd bint 'Uqba b. Rafi,
F1558,Umm Sa'd bint Mas'ud b. Sa'd,
F1559,Umm Sa'd bint Qays bin Mihsan bin Khalid,
F1560,Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy,
F1561,Umm Sahl bint 'Amr bin Qays,
F1562,Umm Sahl bint al-Nu'man,
F1563,Umm Sahl bint Mas'ud b. Sa'd,
F1565,Umm Sahl bint Sahl bin 'Atik,
F1566,Umm Sakhar bint Sharik ibn Anas,
F1567,Umm Salama bint Mas'ud bin Aws,
F1569,Umm Salit al-Najjariyya,
F1570,Umm Sharahbil bint Farwa bin 'Amr,
F1572,Umm Sharik bint Anas ibn Rafi',
F1573,Umm Sharik bint Khalid b. Khunays,
F1574,Umm Simak bint Fadala bin 'Adi,
F1575,Umm Subayya al-Juhayniyya,
F1576,Umm Suhayl bint Abi Hathma,
F1577,Umm Sulaym bint 'Amr bin 'Ubbad,
F1578,Umm Sulaym bint Khalid,
F1580,Umm Sulaym bint Qays bin 'Amr,
F1581,Umm Sulayman bint Sharik ibn Anas,
F1582,Umm Tha'laba bint b. Zayd b. al-Harith,
F1583,Umm Thabit bint Haritha bin Zayd,
F1584,Umm Thabit bint Jabir bin 'Atik,
F1585,Umm Thabit bint Mas'ud b. Sa'd,
F1586,Umm Thabit bint Tha'laba bin 'Amr,
F1587,Umm Thabit bint Thabit bin Sinan,
F1588,Umm Waraqa bint Abdullah,
F1589,Umm Y'aqub,
F1590,Umm Zayd bint 'Amr bin Haram,
F1591,Umm Zayd bint al-Sakan bin 'Utba,
F1592,Umm Zayd bint Qays bin al-Nu'man,
F1593,Umm Ziyad,
F1594,Unays bin Qatada,625
F1595,Unaysa bint 'Abdullah bin 'Amr,
F1596,Unaysa bint 'Amr bin Qays,
F1597,Unaysa bint 'Anma ibn 'Adi,
F1598,Unaysa bint 'Urwa bin Mas'ud,
F1599,Unaysa bint Hilal bin al-Mu'alla,
F1600,Unaysa bint Khubayb bin Isaf,
F1601,Unaysa bint Mu'adh bin Ma'is,
F1602,Unaysa bint Rafi' bin al-Mu'alla,
F1603,Unaysa bint Sa'ida,
F1604,Unaysa or Nufaysa bint Qays,
F1605,Uqba bin 'Amir al-Juhayni,677
F1606,Uqba bin 'Amir bin Nabi,634
F1607,Uqba bin 'Uthman bin Khalada,
F1608,Uqba bin Qayzi bin Qays,635
F1609,Uqba bin Wahb al-Asadi,
F1610,Uqba bin Wahb bin Kalda,
F1611,Urwa bin Abi Athatha bin 'Abdul-'Uzza,
F1613,Usaid bin Hudair bin Sammak,
F1614,Usamah ibn Zayd,663
F1616,Usayma,
F1617,Usayma bint Jabbar bin Sakhr,
F1619,Utba bin 'Abdullah b Sakhr,
F1620,Utba bin 'Uwyam bin Sa'ida,
F1621,Utba bin Abi Lahab,
F1622,Utba bin Rabai'a bin Khalid,
F1623,Utba bin Rabi' bin Rafi',625
F1626,Uthayla bint al-Harith,
F1627,Uthman bin 'Abd Ghanm bin Zuhayr,
F1628,Uthman bin Maz'un,624
F1631,Uwyam bin Sa'ida,
F1632,Wadda bint 'Uqba b. Rafi,
F1633,Wadi'a bin 'Amr,
F1634,Wahb bin Qabous al-Mazni,625
F1635,Wahb bin Sa'd bin Abi Sarh,629
F1639,Waqid bin 'Abdullah,635
F1641,Wasay' bin Habban bin Munqidh,683
F1642,Wazfah/Waraqa bin Iyas b 'Amr,634
F1643,Ya'la bin Marra bin Wahb,
F1644,Ya'rub ibn Yashjub,-1630
F1648,Yahya ibn Sharif al-Nawawi,1277
F1649,Yahya Suhrawardi (Maqtul),1191
F1653,Yared ibn Mahlail,-2200
F1654,Yashjub ibn Nabit,-1680
F1655,Yasir ibn 'Amir,615
F1656,Yazid bin 'Amir bin Hadida,650
F1657,Yazid bin al-Harith ibn Qays,624
F1658,Yazid bin al-Mundhir bin Sarh,
F1659,Yazid bin Ruqaysh al-Asadi,634
F1660,Yazid bin Sa'id bin Thamama,
F1661,Yazid bin Tha'laba bin Hazama,
F1662,Yazid bin Zama'a bin al-Aswad,629
F1663,Yazid bin Zayd,
F1665,Yazid/Zayd bin al-Muzayyan bin Qays,
F1669,Yusuf al-Hamadani,1140
F1671,Yusuf Hamadani,1140
F1673,Zaghiba bint Zurara,
F1677,Zayd bin Aslam,
F1678,Zayd bin Hatib bin Umayya,625
F1679,Zayd bin Khalid al-Juhni,
F1680,Zayd bin Milhan,636
F1681,Zayd bin Wadi'a b 'Amr,
F1687,Zaynab bint Abi Salamah,692
F1688,Zaynab bint al-Harith bin Khalid,
F1689,Zaynab bint al-Hubab,
F1693,Zaynab bint Ka'b bin 'Ajra al-Ansariyya,
F1697,Zaynab bint Nabayt al-Ansariyya,
F1698,Zaynab bint Qays b. Shammas,
F1699,Zaynab bint Qays bin Makhrama,
F1700,Zaynab bint Sahl bin al-Sa'b,
F1701,Zaynab bint Sayfi b. Sakhr,
F1702,Zaynab bint Suwayd b. Samit,
F1703,Zaynab bint Thabit ibn Qays b. Shammas,
F1704,Zaynab bint. Abi Mu'awiya,
F1710,Ziyad bin Ka'b bin 'Amr,
F1712,Zuhayr bin Rafi',
F1716,Sahl al-Su'luki,999
